Sample ID,sample,site,rep,month,place,Auto Dilution Factor,Analyte Name,Peak Concentration,Conc x ADF,mg/g,mg/kg
hl3-10,hl3,HL,3,10,3,1,NO3+NO2,5.85,5.85,0.234,58.5
hl3-5,hl3,HL,3,5,3,1,Ammonia,3.67,3.67,0.1468,36.7
hl3-5,hl3,HL,3,5,3,1,NO3+NO2,4.9,4.9,0.196,49
hl3-7,hl3,HL,3,7,3,1,Ammonia,9.17,9.17,0.3668,91.7
hl3-7,hl3,HL,3,7,3,1,NO3+NO2,4.23,4.23,0.1692,42.3
hl4-10,hl4,HL,4,10,4,1,Ammonia,8.64,8.64,0.3456,86.4
hl4-10,hl4,HL,4,10,4,1,NO3+NO2,5,5,0.2,50
hl4-5,hl4,HL,4,5,4,1,Ammonia,17.5,17.5,0.7,175
hl4-5,hl4,HL,4,5,4,1,NO3+NO2,3.24,3.24,0.1296,32.4
hl4-7,hl4,HL,4,7,4,1,Ammonia,5.54,5.54,0.2216,55.4
hl4-7,hl4,HL,4,7,4,1,NO3+NO2,1.62,1.62,0.0648,16.2
mw1-10,mw1,MW,1,10,9,1,Ammonia,8.96,8.96,0.3584,89.6
mw1-10,mw1,MW,1,10,9,1,NO3+NO2,3.11,3.11,0.1244,31.1
mw1-5pa,mw1,MW,1,5,9,1,Ammonia,6.87,6.87,0.2748,68.7
mw1-5pa,mw1,MW,1,5,9,1,NO3+NO2,0.617,0.617,0.02468,6.17
mw1-7,mw1,MW,1,7,9,1,Ammonia,11.1,11.1,0.444,111
mw1-7,mw1,MW,1,7,9,1,NO3+NO2,0.206,0.206,0.00824,2.06
mw1cs-5,mw1,MW,1,5,9,1,Ammonia,5.26,5.26,0.2104,52.6
mw1cs-5,mw1,MW,1,5,9,1,NO3+NO2,0.992,0.992,0.03968,9.92
mw1pa-10,mw1,MW,1,10,9,1,Ammonia,5.55,5.55,0.222,55.5
mw1pa-10,mw1,MW,1,10,9,1,NO3+NO2,2.05,2.05,0.082,20.5
mw2-10,mw2,MW,2,10,10,1,Ammonia,15.2,15.2,0.608,152
mw2-10,mw2,MW,2,10,10,1,NO3+NO2,1.03,1.03,0.0412,10.3
mw2-5,mw2,MW,2,5,10,1,Ammonia,9.3,9.3,0.372,93
mw2-5,mw2,MW,2,5,10,1,NO3+NO2,0.808,0.808,0.03232,8.08
mw2-7,mw2,MW,2,7,10,1,Ammonia,6.96,6.96,0.2784,69.6
mw2-7,mw2,MW,2,7,10,1,NO3+NO2,0.159,0.159,0.00636,1.59
mw3-10,mw3,MW,3,10,11,1,Ammonia,10.4,10.4,0.416,104
mw3-10,mw3,MW,3,10,11,1,NO3+NO2,4.13,4.13,0.1652,41.3
mw3-5,mw3,MW,3,5,11,1,Ammonia,3.58,3.58,0.1432,35.8
mw3-5,mw3,MW,3,5,11,1,NO3+NO2,1.52,1.52,0.0608,15.2
mw3-7,mw3,MW,3,7,11,1,Ammonia,19,19,0.76,190
mw3-7,mw3,MW,3,7,11,1,NO3+NO2,1.25,1.25,0.05,12.5
mw4-10,mw4,MW,4,10,12,10,Ammonia,4.48,44.8,1.792,448
mw4-10,mw4,MW,4,10,12,10,NO3+NO2,0.0238,0.238,0.00952,2.38
mw4-5,mw4,MW,4,5,12,10,Ammonia,2.09,20.9,0.836,209
mw4-5,mw4,MW,4,5,12,10,NO3+NO2,0.0125,0.125,0.005,1.25
mw4-7,mw4,MW,4,7,12,10,Ammonia,3.76,37.6,1.504,376
mw4-7,mw4,MW,4,7,12,10,NO3+NO2,0.0217,0.217,0.00868,2.17
rl2-10,rl2,RL,2,10,6,10,Ammonia,1.97,19.7,0.788,197
rl2-10,rl2,RL,2,10,6,10,NO3+NO2,1.04,10.4,0.416,104
rl2-5,rl2,RL,2,5,6,10,Ammonia,2.62,26.2,1.048,262
rl2-5,rl2,RL,2,5,6,10,NO3+NO2,0.879,8.79,0.3516,87.9
rl2-7,rl2,RL,2,7,6,1,Ammonia,7.98,7.98,0.3192,79.8
rl2-7,rl2,RL,2,7,6,1,NO3+NO2,0.438,0.438,0.01752,4.38
rl3-10,rl3,RL,3,10,7,1,Ammonia,2.49,2.49,0.0996,24.9
rl3-10,rl3,RL,3,10,7,1,NO3+NO2,0.451,0.451,0.01804,4.51
rl3-5,rl3,RL,3,5,7,1,Ammonia,5.1,5.1,0.204,51
rl3-5,rl3,RL,3,5,7,1,NO3+NO2,0.235,0.235,0.0094,2.35
rl3-7,rl3,RL,3,7,7,1,Ammonia,13.6,13.6,0.544,136
rl3-7,rl3,RL,3,7,7,1,NO3+NO2,0.267,0.267,0.01068,2.67
rl4-10,rl4,RL,4,10,8,1,Ammonia,3.8,3.8,0.152,38
rl4-10,rl4,RL,4,10,8,1,NO3+NO2,0.407,0.407,0.01628,4.07
rl4-5,rl4,RL,4,5,8,1,Ammonia,2.46,2.46,0.0984,24.6
rl4-5,rl4,RL,4,5,8,1,NO3+NO2,1.01,1.01,0.0404,10.1
rl4-7,rl4,RL,4,7,8,1,Ammonia,9.24,9.24,0.3696,92.4
rl4-7,rl4,RL,4,7,8,1,NO3+NO2,0.362,0.362,0.01448,3.62
