indi,spp,name,site,date,month,ce,amba,vcmax,jmax,mgcl2.min,mgcl2.hr,edta.min,edta.hr,nr.hr.chl,protein.ug.mL,protein.ug.gfw,wt.g,area.mm2,area.cm2,SLA,LMA,sample,spp,site,month,totC,C13,totN
cs22,cs,Carex,2,128,5,0.06692156,12.6,,,10.44322256,626.5933535,9.362130606,561.7278364,2530.254111,112.75,1043.981481,0.3489,1821.246407,18.21246407,52.19966772,0.01915721,Cs22,Cs,82a2,5,51.9432926,-26.96204341,3.765025383
cs23,cs,Carex,2,128,5,0.067142017,12.92939322,59.813,116.32,14.48034598,868.8207588,17.7752211,1066.513266,7637.463759,155.0666667,1170.314465,0.2436,1604.763929,16.04763929,65.87700857,0.015179803,Cs23,Cs,82a2,5,39.34486255,-28.2435702,3.781939254
cs24,cs,Carex,2,128,5,0.031177804,6.782910611,30.318,75.391,16.69048868,1001.429321,17.42173412,1045.304047,4809.47257,106.4516129,1750.848896,0.2909,1338.184137,13.38184137,46.00151724,0.021738413,Cs24,Cs,82a2,5,48.97506978,-27.28896081,3.327043447
cs25,,,,,,,,,,12.10053353,726.0320118,13.58492235,815.0953411,2480.636613,77.1372549,877.5569386,0.2578,1863.499849,18.63499849,72.28471098,0.013834184,Cs25,Cs,82a2,5,48.80500286,-26.89713703,3.765473138
cs26,,,,,,,,,,6.863783021,411.8269812,7.234321436,434.0592861,2691.406856,86.11764706,956.8627451,0.435,1818.191351,18.18191351,41.79750233,0.023924875,Cs26,Cs,82a2,5,61.10205556,-27.41315654,6.525089633
pa21,pa,Phalaris,2,128,5,0.090217219,15.5,,,16.64569428,998.7416566,16.31743079,979.0458475,3069.385758,57.59259259,750.8812594,0.481,3335.631033,33.35631033,69.34783853,0.01442006,Pa21,Pa,82a2,5,47.91405971,-27.66283553,4.355085316
pa22,pa ,Phalaris,2,128,5,0.080996013,15.4,,,11.73156468,703.893881,15.42417471,925.4504826,2132.079636,72.58823529,715.8603086,0.5535,2794.72545,27.9472545,50.49187806,0.019805165,Pa22,Pa,82a2,5,49.16323628,-27.55179259,4.446360461
pa23,pa,Phalaris,2,128,5,0.119213688,20.29751103,99.112,190.046,7.143545677,428.6127406,2.107407451,126.4444471,921.9732274,76.91666667,553.7556995,0.4459,2262.327882,22.62327882,50.73621624,0.019709787,Pa23,Pa,82a2,5,49.97190027,-28.54620169,4.341286472
pa24,pa,Phalaris,2,128,5,0.055801171,12.66955185,61.6,132.664,15.86021057,951.6126342,11.60765904,696.4595424,10001.43854,109.5714286,659.2745401,0.3156,3621.673695,36.21673695,114.7551868,0.008714203,Pa24,Pa,82a2,5,48.29192022,-29.48644381,4.038477435
pa25,,,,,,,,,,0.281867177,16.91203065,1.038164258,62.28985546,,215.1515152,1440.10385,0.3929,2609.8981,26.098981,66.42652328,0.015054228,Pa25,Pa,82a2,5,51.18983925,-29.28003249,4.342667604
pa26,,,,,,,,,,16.32076325,979.2457949,15.48200398,928.9202387,4334.932526,100.4313725,1112.196817,0.485,1769.212593,17.69212593,36.47861016,0.027413325,Pa26,Pa,82a2,5,47.16556478,-28.56194041,4.176637575
cs21,cs,Carex,2,206,7,0.009998147,2.339837319,,,7.370767185,442.2460311,11.88055577,712.8333464,1863.841995,68.4,437.6199616,0.3365,1500.088086,15.00088086,44.57914075,0.022432016,Cs21,Cs,82a2,7,50.77387741,-26.88040816,3.63072233
cs22,cs,Carex,2,206,7,0.022635066,3.762280083,,,6.544346448,392.6607869,6.899304164,413.9582498,1803.503515,30.66666667,506.8870523,0.3676,1013.984743,10.13984743,27.58391575,0.036253011,Cs22,Cs,82a2,7,51.23409204,-25.65900678,3.005006536
cs23,cs,Carex,2,206,7,0.009733841,1.512262037,19.52,56.287,2.929472805,175.7683683,2.525502352,151.5301411,1576.588579,55.05376344,585.0559345,0.399,1176.482925,11.76482925,29.4857876,0.033914644,Cs23,Cs,82a2,7,52.06576313,-26.5116008,3.199943092
cs24,cs,Carex,2,206,7,0.023933274,4.715617846,19.105,54.172,1.6743976,100.463856,3.383877816,203.0326689,1573.849176,28.17777778,484.1542574,0.3438,1158.152593,11.58152593,33.68681191,0.029685207,Cs24,Cs,82a2,7,51.13620374,-27.84075465,3.630199245
cs25,,,,,,,,,,6.878997831,412.7398699,5.901560717,354.093643,2352.682047,67.05555556,854.2108988,0.3859,939.4889319,9.394889319,24.3453986,0.041075524,Cs25,Cs,82a2,7,45.87380029,-26.02451078,2.454579403
cs26,,,,,,,,,,10.45813062,627.4878372,9.866294696,591.9776818,,68.125,723.1953291,0.3094,1295.287525,12.95287525,41.8644966,0.023886588,Cs26,Cs,82a2,7,50.3823118,-26.28415808,3.998249369
pa21,pa,Phalaris,2,206,7,0.09578386,14.59212934,66.73,153.948,17.43188076,1045.912846,22.15152772,1329.091663,16782.31378,118.6666667,1287.057122,0.2918,2130.394235,21.30394235,73.00871264,0.013696995,Pa21,Pa,82a2,7,47.79167121,-28.39485825,3.440367718
pa22,pa ,Phalaris,2,206,7,0.060743361,12.94525242,57.515,125.38,13.4063845,804.3830699,14.97693629,898.6161774,1690.647372,141.8333333,1307.219662,0.4545,1307.444827,13.07444827,28.76666287,0.034762461,Pa22,Pa,82a2,7,46.94359418,-27.81239829,3.337601098
pa23,pa,Phalaris,2,206,7,0.104548548,19.33766613,74.805,160.204,12.4924501,749.547006,27.18549108,1631.129465,1437.806355,76.4137931,1350.067016,0.3747,1223.92367,12.2392367,32.6640958,0.030614654,Pa23,Pa,82a2,7,45.89216249,-27.95388613,3.934785378
pa24,pa,Phalaris,2,206,7,0.054638426,12.10267956,51.718,125.095,16.35349075,981.2094448,13.88137867,832.8827205,3579.287967,29.20833333,379.82228,0.3504,1419.097661,14.19097661,40.49936247,0.024691747,Pa24,Pa,82a2,7,46.02338342,-27.77965199,3.5074645
pa25,,,,,,,,,,9.821827941,589.3096765,11.22893991,673.7363948,991.714609,90.54901961,757.7323817,0.353,1446.005917,14.46005917,40.96334043,0.024412072,Pa25,Pa,82a2,7,47.70592151,-27.64310805,3.393172935
pa26,,,,,,,,,,11.24095203,674.4571218,10.81769108,649.0614649,1824.701997,55.20833333,576.2874043,0.3575,1293.225188,12.93225188,36.17413112,0.027644064,Pa26,Pa,82a2,7,47.78191454,-28.33211431,5.781955803
pa21,pa,Phalaris,2,288,10,0.084413642,16.60772317,78.719,173.818,1.058746061,63.52476365,15.36557547,921.934528,114.546002,,,0.373,5491.891869,54.91891869,147.2357069,0.006791831,Pa21,Pa,82a2,10,46.70486792,-28.9593469,4.089119758
pa22,pa ,Phalaris,2,288,10,0.102467841,17.20319967,83.102,153.241,5.035401866,302.1241119,2.174858634,130.4915181,695.3189333,179.4222222,1179.633282,0.363,5821.481303,58.21481303,160.3713858,0.006235526,Pa22,Pa,82a2,10,48.40501296,-28.86077649,3.023886707
