sample,rep,place,spp,site,month,year,totC,C13,totN,weight_pr,A595,ml_pr,ug/mL_pr,ug/gfw_pr,area,wet_wt,dry_wt,SLA,LMA,mMol_gfw_no3,mgNO3,mg.gfw_no3
Cl82a4,4,18,Cl,82a,10,2013,50.72234117,-30.37461728,2.901288754,0.0888,0.2156,1,142.0666667,1599.84985,6.93,0.1112,0.0554,125.0902527,0.007994228,,,
Cs82a4,4,18,Cs,82a,10,2013,46.80997187,-29.2178945,3.194996144,0.0682,0.1237,1.5,53.86666667,789.8338221,3.33,0.0905,0.0484,68.80165289,0.014534535,83.3033306,0.019695406,0.037486499
Pa82a4,4,18,Pa,82a,10,2013,47.18026292,-31.28705701,4.782399352,0.0519,0.3252,1.5,143.4222222,2763.433954,2.66,0.0167,0.0106,250.9433962,0.003984962,104.2406443,0.02267234,0.078180483
Cs82a5,5,19,Cs,82a,5,2013,52.70257284,-26.72677832,4.400199824,0.0945,0.1015,1.35,48.88888889,517.3427396,12.44,0.1195,0.0603,206.3018242,0.004847267,7.137702126,0.000959782,0.003675917
Pa82a5,5,19,Pa,82a,5,2013,47.83401337,-27.57484965,4.386308288,0.067,0.0586,1.6,23.375,348.880597,15.77,0.1277,0.0648,243.3641975,0.004109068,107.8204707,0.014109549,0.055527542
Cs82a5,5,19,Cs,82a,7,2013,55.26559468,-26.92793469,4.167331338,0.0857,0.1636,1.35,79.55555556,928.3028653,4.26,0.0617,0.0322,132.2981366,0.007558685,60.85915973,0.02731846,0.048687328
Cs82a5,5,19,Cs,82a,7,2013,52.71792755,-27.24323287,3.654785156,0.0699,0.1786,1.55,75.74193548,1083.575615,6.16,0.0536,0.0298,206.7114094,0.004837662,107.5796726,0.021042584,0.086063738
Pa82a5,5,19,Pa,82a,7,2013,51.68697397,-28.18467123,3.593412334,0.0699,0.1622,1.5,70.97777778,1015.418852,4.17,0.0753,0.0448,93.08035714,0.010743405,141.8572714,0.035414668,0.070928636
Pa82a6,5,19,Pa,82a,7,2013,54.32190333,-27.90234466,4.222773013,0.063,0.1615,1.5,70.66666667,1121.693122,5.54,0.0656,0.0289,191.6955017,0.005216606,117.9094235,0.02583985,0.106118481
Pa82a5,5,19,Pa,82a,10,2013,47.03882803,-29.58017918,4.052197428,0.0908,0.0863,1,55.86666667,615.2716593,2.79,0.0161,0.0124,225,0.004444444,72.14748576,0.009476572,0.036073743
