"","spp","monthf","C13_sd","C13","pro_area_sd","pro_area"
"1","Cs","May",1.07820315076957,-26.9440717391667,21982.6395905083,24276.2983553
"2","Cs","July",1.0596080367971,-27.3029719007692,29170.8005586699,52206.0889059154
"3","Cs","October",0.838557707537347,-27.5574335983333,61477.6054000829,123924.328026975
"4","Pa","May",0.547147059401381,-28.3585383433333,24508.3330738439,21136.89961344
"5","Pa","July",0.591567231702099,-28.0828378953333,36691.3069505064,40221.5438362733
"6","Pa","October",0.828360958402604,-29.6310463786667,23181.3472377938,30931.7260544867
